State,City,Year,Population,Violent crime,Murder,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
,THOUSAND OAKS,2016,"129,853",83,0,16,17,50,761,109,605,47,4
,,2017,,75,0,24,11,40,837,137,626,74,6
,TORRANCE,2016,"149,078",116,0,12,58,46,"1,568",208,"1,173",187,3
,,2017,,145,0,17,56,72,"1,544",300,999,245,8
,VALLEJO,2016,"122,293",517,10,48,167,292,"2,419","1,120",691,608,36
,,2017,,540,9,46,187,298,"2,369","1,256",603,510,20
,VENTURA,2016,"110,228",183,4,28,46,105,"1,854",325,"1,382",147,3
,,2017,,231,1,31,56,143,"1,822",297,"1,332",193,10
,VICTORVILLE,2016,"123,438",315,4,21,95,195,"1,831",452,"1,123",256,10
,,2017,,412,8,29,126,249,"1,525",401,791,333,26
,VISALIA,2016,"131,186",265,2,30,53,180,"1,988",492,"1,156",340,1
,,2017,,258,6,49,79,124,"2,134",470,"1,347",317,4
,VISTA,2016,"102,307",183,1,17,50,115,831,170,544,117,4
,,2017,,189,4,22,54,109,746,159,460,127,7
,WEST COVINA,2016,"108,950",146,2,9,64,71,"1,442",270,921,251,5
,,2017,,150,0,20,75,55,"1,266",259,811,196,6
